step_id,description,imageUrl,recipe_id
3,"Как только масло перестанет пениться, добавить яйца с молоком, покрыв все дно. Нужно немедленно поднять ту часть омлета, которая прихватилась, чтобы яичная смесь под нее затекла. Повторить так несколько раз, слегка покачивая сковороду, чтобы омлет быстрее прихватился со всех сторон.",,18154
4,За минуту до полной готовности распределить тертый сыр по одной половине омлета и готовить еще 20 секунд.,,18154
5,"При помощи лопатки завернуть омлет, накрыв сырную половинку другой. Выключить огонь и оставить готовиться еще секунд на 30.",,18154
1,"На растительном масле обжарить измельченный лук до прозрачности, затем добавить мелко нарезанную курицу, посолить и жарить несколько минут, до готовности курицы.",https://s1.eda.ru/StaticContent/Photos/120213182322/180620103316/p_O.jpg,124983
2,"Добавить рис, хорошо перемешать, разбивая комочки, затем добавить горошек, кетчуп и соевый соус, перемешать и снять с огня.",https://s1.eda.ru/StaticContent/Photos/120213182322/180620103317/p_O.jpg,124983
3,"Слегка взбить два яйца со столовой ложкой сливок и щепоткой соли. Вылить яйца на разогретый вок или глубокую сковородку. Пока яйца не схватились, помешать их лопаткой или палочками, как это делают в Японии, чтобы придать омлету воздушную текстуру.",https://s1.eda.ru/StaticContent/Photos/120213182322/180620103318/p_O.jpg,124983
4,"Когда внизу омлет уже приготовился, а на поверхности еще остается сыроватым, выключить огонь и выложить на омлет половину жареного риса. Сложить края омлета на рис как бы заворачивая начинку в омлет. Аккуратно переложить омлет с рисом на тарелку, перевернув сковороду.  Подавать с кетчупом, украсив петрушкой.",https://s1.eda.ru/StaticContent/Photos/120213182322/180620103319/p_O.jpg,124983
1,"Нарезать бекон мелкими кубиками, точно так же поступить с репчатым луком.",https://s1.eda.ru/StaticContent/Photos/110816122017/170315172138/p_O.png,33818
2,"Кубиками покрупнее нарезать стебель и корень сельдерея, морковь, картошку и репу. Все корнеплоды надо, разумеется, очистить от кожицы.",https://s1.eda.ru/StaticContent/Photos/110816122017/170315172140/p_O.png,33818
3,"На оливковом масле обжарить бекон до золотистого цвета, после чего отправить к нему лук, кусочки моркови и стебля сельдерея и жарить, помеши­вая, три-четыре минуты.",https://s1.eda.ru/StaticContent/Photos/110816122017/170315172141/p_O.png,33818
4,"Добавить остальные корнеплоды, перемешать и жарить еще две-три минуты, чтобы овощи пропитались ароматами бекона и друг друга.",https://s1.eda.ru/StaticContent/Photos/110816122017/1703151721410/p_O.png,33818
5,"Залить обжаренные овощи 3 л воды (можно чуть больше — часть бульона хорошо отлить потом, чтобы использовать в соусе для следующего блюда), заправить солью, лавровым листом и перцем и варить примерно пятнадцать минут.",https://s1.eda.ru/StaticContent/Photos/110816122017/170315172142/p_O.png,33818
6,"Снять суп с огня, заправить по вкусу петрушкой (но можно и не заправлять, у супа и так богатый овощной вкус).",https://s1.eda.ru/StaticContent/Photos/110816122017/1703151721420/p_O.png,33818
7,Разлить суп из корнеплодов по тарелкам и посыпать крупно натертым пармезаном.,https://s1.eda.ru/StaticContent/Photos/110816122017/170315172143/p_O.png,33818
1,Нарезать индейку на небольшие кусочки и положить ее мариноваться в оливковом масле с соевым соусом.,,35274
2,"Нарезать яблоко кубиками, а лук — тонкими кольцами. Обжарить лук в подсолнечном масле, помешивая, до золотистого цвета.",,35274
3,"Добавить к луку индейку вместе с маринадом и жарить на сильном огне несколько минут, постоянно помешивая.",,35274
4,"Убавить огонь, добавить яблоко, посолить, поперчить, накрыть крышкой и оставить тушиться еще минут на 7–10.",,35274
5,В качестве гарнира очень хорошо подойдет гречневая лапша или рис.,,35274
1,"На мелкой терке натереть имбирь и лук, чеснок раздавить чеснокодавкой. Смешать соевый соус, сахар, саке, имбирь, чеснок и лук.",https://s1.eda.ru/StaticContent/Photos/120214134655/180927184219/p_O.jpg,125574
2,"Нарезать филе крупными кусками и положить в маринад, оставить на 30 минут.",https://s1.eda.ru/StaticContent/Photos/120214134655/180927184221/p_O.jpg,125574
3,На сковороде разогреть растительное масло и обжарить куски курицы со всех сторон до карамельной корочки. Отложить.,https://s1.eda.ru/StaticContent/Photos/120214134655/180927184223/p_O.jpg,125574
4,"В ту же сковородку вылить маринад, уварить его в течение 3–4 минут. Вернуть курицу в сковороду и готовить, помешивая, еще пару минут, мясо должно покрыться соусом, как глазурью. Подавать, украсив семенами кунжута и зеленым луком.",https://s1.eda.ru/StaticContent/Photos/120214134655/180927184225/p_O.jpg,125574
1,"Смешайте в миксере бананы, яйца, молоко и сахар вплоть до образования однородной массы. Вмешайте туда же муку и быстро перемешайте, но не до однородного состояния.",,15230
2,"Ложкой выкладывайте полученную массу на горячую сковороду с маслом. Обжаривайте с обеих сторон, пока оладьи не станут коричневыми.",,15230
1,Поставить вариться 4–5 средних картофелин.,,34385
2,"Лук и грибы очистить. Лук мелко нарезать, грибы нарезать дольками. Обжарить лук на сливочном масле до прозрачности, потом добавить грибы. Жарить до готовности грибов, постоянно помешивая, чтобы не пригорело.",,34385
3,"Когда картошка сварится, слить воду, но можно, на всякий случай, оставить стакан воды, в которой варилась картошка. Добавить грибы с луком в картофель, добавить сливки, соль, перец и измельчить блендером. Если вам кажется, что суп густоват, добавить ту самую воду.",,34385
4,Подавать с гренками.,,34385
1,Курицу нарезать тонкими ломтиками и замариновать в соке лайма с солью и перцем в течение 5–10 минут. Обжарить на растительном масле до золотистого цвета.,https://s1.eda.ru/StaticContent/Photos/120131112204/180314132436/p_O.jpg,124925
2,"Апельсин очистить ножом, срезая все белые части, затем вырезать дольки, избегая пленок. Лук нарезать толстой соломкой, авокадо разрезать пополам, извлечь косточку, при помощи ложки избавить половинки авокадо от кожи и нарезать дольками.",https://s1.eda.ru/StaticContent/Photos/120131112204/180314132437/p_O.jpg,124925
3,"Смешать сок лайма с измельченной мятой, 60 мл масла, сахаром, солью и перцем при помощи венчика.",https://s1.eda.ru/StaticContent/Photos/120131112204/1803141324370/p_O.jpg,124925
4,"Смешать романо, курицу, авокадо и филе апельсина с лаймовой заправкой и тут же подавать.",https://s1.eda.ru/StaticContent/Photos/120131112204/1803141324371/p_O.jpg,124925
1,"Тунца вместе с соком выложить в миску и размять руками. Посыпать розовым маврикийским перцем (он такой же ароматный, как черный, но менее жгучий), добавить каперсы и перемешать. Выложить тертый эмменталь (или другой сыр по вкусу — эдам, например, или гауду) и снова перемешать.",,29868
2,"Разогреть сковороду на среднем огне и слегка подсушить хлеб с обеих сторон. Затем слегка промазать все куски с одной стороны сливочным маслом, выложить тунцово-сырную смесь, соединить половины сэндвичей — и снова отправить на сковородку. Там они должны провести пару минут под крышкой — идея в том, чтобы сыр расплавился и схватил рыбную массу.",,29868
3,Готовые сэндвичи разрезать по диагонали и украсить кружками огурца.,,29868
1,"Сварить куриную грудку с лавровым листом и несколькими горошинами перца. Готовую курицу достать из бульона, бульон сохранить.",https://s1.eda.ru/StaticContent/Photos/170224233526/210628170234/p_O.jpg,41548
2,Яйца сварить в кипящей воде в течение 10 минут. Затем залить их холодной водой.,https://s1.eda.ru/StaticContent/Photos/170224233526/210628170238/p_O.jpg,41548
3,Очистить вареные яйца и натереть их на крупной терке.,https://s1.eda.ru/StaticContent/Photos/170224233526/210628170241/p_O.jpg,41548
4,"Нарезать грудку, огурцы, чернослив толстой соломкой.",https://s1.eda.ru/StaticContent/Photos/170224233526/210628170245/p_O.jpg,41548
5,Разбавить майонез куриным бульоном и перемешать до однородной консистенции.,https://s1.eda.ru/StaticContent/Photos/170224233526/210628170249/p_O.jpg,41548
6,Смешать все подготовленные продукты и посолить салат по вкусу.,https://s1.eda.ru/StaticContent/Photos/170224233526/210628170253/p_O.jpg,41548
1,"Спагетти: наполнить кастрюлю водой, поставить на огонь. Помните золотую пропорцию для отваривания спагетти: 1000 мл воды/100 грамм спагетти/10 грамм соли.",,33485
2,"Фрикадельки: лук мелко порубить, смешать с мясом, солью и перцем, добавить яйцо, скатать в шарики, обвалять в муке.",,33485
3,"На сковороду налить подсолнечное масло, слегка обжарить фрикадельки, добавить помидоры, потушить. Томатную пасту развести с водой, добавить к остальным ингредиентам. Добавить специи: перец, соль, смесь итальянских трав (можно положить свежий базилик). В соус можно добавить еще что-нибудь, например, я добавляю перец. ",,33485
4,"Спагетти отварить до готовности, слить воду, добавить капельку оливкового или сливочного масла (это кто как любит), слегка посолить. ",,33485
5,Подавать смешанными в глубокой тарелке.,,33485
1,"Сначала приготовить соус, чтобы он настоялся и хорошо пропитался. Для этого смешать сметану, мелко нарезанную петрушку, пропущенный через пресс чеснок, соль, перец и специи.",https://s1.eda.ru/StaticContent/Photos/170223141144/210830165854/p_O.jpg,41324
2,"Куриное филе разрезать пополам вдоль, посолить и поперчить, посыпать смесью специй, сбрызнуть оливковым маслом, растереть и оставить мариноваться на 10 минут.",https://s1.eda.ru/StaticContent/Photos/170223141144/210830165859/p_O.jpg,41324
3,Обжарить филе на растительном масле с двух сторон до золотистой корочки.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165903/p_O.jpg,41324
4,Красный лук нарезать тонкой соломкой.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165908/p_O.jpg,41324
5,Замариновать лук с солью и сахаром в винном уксусе.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165912/p_O.jpg,41324
6,Нарезать овощи соломкой.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165916/p_O.jpg,41324
7,"Разложить лаваш, намазать его соусом и сверху выложить овощи.",https://s1.eda.ru/StaticContent/Photos/170223141144/210830165920/p_O.jpg,41324
8,Куриную грудку нарезать ломтиками и выложить на овощи.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165925/p_O.jpg,41324
9,Аккуратно свернуть плотно лаваш в трубочку и обжарить на раскаленной сковороде-гриль. Сразу же подавать.,https://s1.eda.ru/StaticContent/Photos/170223141144/210830165929/p_O.jpg,41324
1,"Моцареллу и лайм разрезать пополам, черри - на четвертинки.",https://s1.eda.ru/StaticContent/Photos/161125164152/161206124743/p_O.png,91363
2,"Оливковое масло смешать с соком лайма, солью и перцем. Отдельно соевый соус смешать с соком лайма.",https://s1.eda.ru/StaticContent/Photos/161125164152/161206124744/p_O.png,91363
3,"Тунец обвалять в кунжуте, поперчить, посолить и обжарить на оливковом масле на раскаленной сковороде с каждой стороны по 30 секунд. Тунец нарезать тонкими ломтиками. ",https://s1.eda.ru/StaticContent/Photos/161125164152/161206124745/p_O.png,91363
4,"В отдельной чаше смешать помидоры и моцареллу, посолить по вкусу. Добавить Микс Тоскана. Полить оливковым маслом с соком лимона.",https://s1.eda.ru/StaticContent/Photos/161125164152/161206124747/p_O.png,91363
5,"На тарелку выложить ломтики тунца по кругу, полить соевым соусом с лаймом. В середину через кулинарное кольцо выложить салат с черри и моцареллой и посыпать луком фри. Украсить листьями кинзы.",https://s1.eda.ru/StaticContent/Photos/161125164152/161206190838/p_O.png,91363
1,"Залить в сотейник примерно полторы бутылки темного пива. Поставить на средний огонь. Как только появятся первые пузырьки, снять сотейник с огня. Главное — не доводить до кипения.",https://s1.eda.ru/StaticContent/Photos/140220200817/151228175342/p_O.jpg,55953
2,"Добавить специи: кардамон, имбирь, корицу, мускатный орех, гвоздику и мед. ",https://s1.eda.ru/StaticContent/Photos/140227144100/151228175344/p_O.jpg,55953
3,Добавить цедру лимона и снова поставить сотейник на огонь. Украсить палочкой корицы и апельсиновыми кольцами.,https://s1.eda.ru/StaticContent/Photos/140310151157/151228175345/p_O.jpg,55953
1,В подсоленной кипящей воде отварить пасту. ,,23565
2,Параллельно в 1 столовой ложке оливкового масла слегка обжарить чеснок и нарезанные кружочками маслины.,,23565
3,"Свежие помидоры нарезать кубиками и добавить к чесноку и маслинам. Готовить помидоры не нужно, они должны только прогреться.",,23565
4,Соус слегка посолить и поперчить.,,23565
5,Слить воду и соединить пасту с соусом. ,,23565
6,Выложить пасту в тарелку и слегка полить оливковым маслом. ,,23565
1,Нарезать лук мелким кубиком или измельчить его в блендере.,https://s1.eda.ru/StaticContent/Photos/170304220918/210326215830/p_O.jpg,40851
2,"Вымешать фарш, добавив лук, а также перец и соль по вкусу.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215833/p_O.jpg,40851
3,Добавить в массу одно сырое яйцо. Разделить на 4 равные части.,https://s1.eda.ru/StaticContent/Photos/170304220918/210326215836/p_O.jpg,40851
4,"Разбить одно яйцо в миску, слегка взбить его. Перелить на плоскую тарелку.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215839/p_O.jpg,40851
5,"Одну часть фарша тонко раскатать на доске, посыпанной мукой, по диаметру сковороды, в которой будет готовиться бризоль. Совет!  Фарш можно раскатать и между пищевой пленкой — так он не липнет к скалке и его удобнее переносить в тарелку.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215841/p_O.jpg,40851
6,В сковороде разогреть пару столовых ложек растительного масла.,https://s1.eda.ru/StaticContent/Photos/170304220918/210326215844/p_O.jpg,40851
7,"Лепешку из фарша перенести на тарелку с яйцом, выложить аккуратно поверх него. Затем осторожно сдвинуть все с тарелки на раскаленную сковороду таким образом, чтобы яйцо оказалось внизу, а фарш — сверху.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215847/p_O.jpg,40851
8,"После того, как яичная основа подрумянится, перевернуть бризоль и жарить до готовности. Аналогично приготовить и остальные бризоли.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215850/p_O.jpg,40851
9,У веточки петрушки оторвать листья и измельчить их.,https://s1.eda.ru/StaticContent/Photos/170304220918/210326215853/p_O.jpg,40851
10,"Подавать, свернув пополам и посыпав зеленью. Внутрь бризоля можно положить начинку, например, обжаренные грибы или овощи.",https://s1.eda.ru/StaticContent/Photos/170304220918/210326215856/p_O.jpg,40851
1,"Нарезать хлеб, выложить на противень и подсушить в духовке минут 5 при 180 градусах. Сухари натереть чесноком и положить на дно глубокого сотейника.",https://s1.eda.ru/StaticContent/Photos/110816121851/170315163416/p_O.png,29846
2,"Залить хлеб протертыми помидорами, добавить сахар и овощной бульон.",https://s1.eda.ru/StaticContent/Photos/110816121851/1703151634160/p_O.png,29846
3,Варить на медленном огне до полной потери хлебом своей сущности.,https://s1.eda.ru/StaticContent/Photos/110816121851/1703151634161/p_O.png,29846
4,"Добавить мелко нарубленный базилик. Подавать, украсив оливковым маслом и листьями базилика.",https://s1.eda.ru/StaticContent/Photos/110816121851/170315163417/p_O.png,29846
1,"В пропущенный через мясорубку творог положить 2 столовые ложки растительного масла, взбитое с сахаром яйцо, манную крупу, 1/2 чайной ложки соли, ванилин.",,15217
2,"Все это тщательно перемешать деревянной лопаточкой, добавив очищенный и промытый изюм.",,15217
3,"После этого творожную массу выложить на смазанную маслом и посыпанную толчеными сухарями сковороду или в неглубокую кастрюлю, разровнять поверхность, смазать сметаной, сбрызнуть маслом и запекать в горячем духовом шкафу в течение 25–30 минут. На стол запеканку подают горячей с сиропом или со сметаной.",,15217
1,"Питу полить оливковым маслом и поджарить в духовке в течение пяти минут при 200 градусах. Когда она остынет, поломать на мелкие кусочки.",https://s1.eda.ru/StaticContent/Photos/120213175333/180412180616/p_O.jpg,50259
2,"Огурцы нарезать крупным кубиком, так же поступить с помидорами. Редис нарезать тонкими кольцами.",https://s1.eda.ru/StaticContent/Photos/120213175333/1804121806160/p_O.jpg,50259
3,"Измельчить мяту и петрушку, романо нарезать крупно. Перемешать овощи и зелень.",https://s1.eda.ru/StaticContent/Photos/120213175333/180412180617/p_O.jpg,50259
4,"Для заправки смешать 50 мл масла, сок половины лимона, сумах и чеснок, пропущенный через пресс.",https://s1.eda.ru/StaticContent/Photos/120213175333/1804121806170/p_O.jpg,50259
5,"Смешать салат, заправку, питу и сумах.",https://s1.eda.ru/StaticContent/Photos/120213175333/180412180618/p_O.jpg,50259
1,"Бананы размять в кашу и перемешать с маслом, яйцами и сахаром. Затем добавить муку и соду, влить молоко.",,16879
2, Выпекать 30 минут при 200 градусах.,,16879
1,"Картофель очистить и нарезать небольшим кубиком, положить в кастрюлю, залить 1,5 литра воды, довести до кипения и варить 15 минут.",https://s1.eda.ru/StaticContent/Photos/121124234750/190416121253/p_O.jpg,126416
2,"Лук и морковь нарезать мелким кубиком. На сковороде разогреть растительное масло, обжарить лук в течение 2–3 минут до прозрачности, затем добавить морковь и пассеровать еще 5–7 минут.",https://s1.eda.ru/StaticContent/Photos/121124234750/190416121254/p_O.jpg,126416
3,"Добавить овощи в кастрюлю к картошке, туда же добавить сырок, нарезанный кубиком, и мешать до растворения сыра. Посолить и поперчить по вкусу. Подавать, посыпав измельченным укропом.",https://s1.eda.ru/StaticContent/Photos/121124234750/190416121255/p_O.jpg,126416
1,Подготовить все ингредиенты. ,,16207
2,Сырой картофель и лук натереть на мелкой терке.,,16207
3,"Добавить соль, муку и яйца. ",,16207
4,Жарить на растительном масле с обеих сторон. ,,16207
5,Готово к подаче!,,16207
1,"Куриную грудку вымыть, дать воде стечь, порезать на брусочки размером с палец.",,38558
2,"Лук очистить, нарезать на брусочки по направлению волокон.",,38558
3,"Перец болгарский помыть, нарезать соломкой.",,38558
4,"Морковь вымыть, очистить, нашинковать не тонкими кольцами.",,38558
5,"Разогреть сковороду, вылить в нее оливковое масло. После того, как масло нагреется, бросить в него кусочки куриной грудки. Обжаривать при непрерывном помешивании 2–3 минуты, пока мясо не станет белым и местами не зарумянится.",,38558
6,"В сковороду последовательно, с интервалом в 2–3 минуты, при непрерывном помешивании, добавить сначала морковь, затем лук, следом болгарский перец. Обжаривать 3–4 минуты на умеренном огне, не позволяя содержимому сковородки тушиться.",,38558
7,"Соединить в чашке соевый соус с сахаром до полного растворения последнего. Не добавлять сахар в соус в том случае, если соус имеет выраженный сладковатый вкус.",,38558
8,"Вылить сладкий соевый соус в сковороду, обжарив содержимое в течение 2–3 минут.",,38558
1,В разогретом масле обжарить нарезанный болгарский перец. ,,17061
2,"Добавить нарезанное кубиками куриное филе, слегка обжарить его.",,17061
3,Посолить.,,17061
4,Добавить нарезанный перец чили и консервированную в соусе чили фасоль.,,17061
5,Закрыть крышкой и тушить до готовности в течение 10 минут. ,,17061
6,Подавать с лавашом и сметаной.,,17061
